"station_number";"station_name";"idrefregency";"type";"region";"latitude";"longitude";"elevation";"soil";"exposure";"land_use";"timezone";"wmo_id";"station_id"
"96753";"Stasiun Klimatologi Bogor";"175";"mkg";"Region II";"-6.5";"106.75";"207";"null";"null";"null";"+07:00";"96753";"75"
"96783";"Stasiun Geofisika Bandung";"177";"mkg";"Region II";"-6.88356";"107.59733";"791";"null";"null";"null";"+07:00";"96783";"76"
"96791";"Stasiun Meteorologi Jatiwangi";"167";"mkg";"Region II";"-6.7344";"108.263";"85";"42";"21";"21";"+07:00";"96791";"77"
"96797";"Stasiun Meteorologi Tegal";"211";"mkg";"Region II";"-6.86817";"109.12103";"1";"53";"42";"21";"+07:00";"96797";"78"
"96805";"Stasiun Meteorologi Cilacap";"184";"mkg";"Region II";"-7.7189";"109.0149";"8";"null";"null";"null";"+07:00";"96805";"79"
"96835";"Stasiun Klimatologi Semarang";"216";"mkg";"Region II";"-6.9847";"110.3812";"6";"47";"22";"22";"+07:00";"96835";"80"
"96837";"Stasiun Meteorologi Maritim Tanjung Mas";"216";"mkg";"Region II";"-6.9486";"110.4199";"2";"null";"null";"null";"+07:00";"96837";"81"
"96839";"Stasiun Meteorologi Ahmad Yani";"216";"mkg";"Region II";"-6.97683";"110.3778";"5";"null";"null";"null";"+07:00";"96839";"82"
"96855";"Stasiun Geofisika Yogyakarta";"222";"mkg";"Region II";"-7.82";"110.3";"153";"null";"null";"null";"+07:00";"96855";"83"
"96925";"Stasiun Meteorologi Sangkapura";"248";"mkg";"Region III";"-5.8511";"112.6578";"3";"47";"22";"21";"+07:00";"96925";"84"
"96933";"Stasiun Meteorologi Perak I";"260";"mkg";"Region III";"-7.2236";"112.7239";"3";"47";"45";"28";"+07:00";"96933";"85"
"96935";"Stasiun Meteorologi Juanda";"238";"mkg";"Region III";"-7.3846";"112.7833";"3";"47";"null";"null";"+07:00";"96935";"86"
"96937";"Stasiun Meteorologi Maritim Perak II";"260";"mkg";"Region III";"-7.2053";"112.7353";"3";"48";"49";"28";"+07:00";"96937";"87"
"96943";"Stasiun Klimatologi Malang";"230";"mkg";"Region III";"-7.9008";"112.5979";"590";"52";"22";"22";"+07:00";"96943";"88"
"96945";"Stasiun Geofisika Tretes";"237";"mkg";"Region III";"-7.70456";"112.63533";"832";"null";"null";"null";"+07:00";"96945";"89"
"96949";"Stasiun Geofisika Karang Kates";"230";"mkg";"Region III";"-8.15";"112.45";"285";"52";"41";"23";"+07:00";"96949";"90"
"96973";"Stasiun Meteorologi Kalianget";"252";"mkg";"Region III";"-7.05";"113.97";"0";"null";"null";"null";"+07:00";"96973";"91"
"96975";"Stasiun Geofisika Sawahan";"241";"mkg";"Region III";"-7.73486";"111.76682";"723";"null";"null";"null";"+07:00";"96975";"92"
"96987";"Stasiun Meteorologi Banyuwangi";"233";"mkg";"Region III";"-8.215";"114.3553";"52";"null";"null";"null";"+07:00";"96987";"93"
"97008";"Stasiun Meteorologi Naha";"367";"mkg";"Region IV";"3.68594";"125.52881";"6";"null";"null";"null";"+08:00";"97008";"94"
"97012";"Stasiun Klimatologi Minahasa Utara";"370";"mkg";"Region IV";"1.54585";"124.9233";"84";"null";"null";"null";"+08:00";"97012";"95"
"97014";"Stasiun Meteorologi Sam Ratulangi";"376";"mkg";"Region IV";"1.54575";"124.9234";"80";"52";"49";"23";"+08:00";"97014";"96"
"97016";"Stasiun Meteorologi Maritim Bitung";"377";"mkg";"Region IV";"1.4431";"125.1797";"4";"53";"22";"21";"+08:00";"97016";"97"
"97028";"Stasiun Meteorologi Sultan Bantilan";"383";"mkg";"Region IV";"1.12114";"120.79433";"8";"null";"null";"null";"+08:00";"97028";"98"
"97048";"Stasiun Meteorologi Djalaluddin";"427";"mkg";"Region IV";"0.6385";"122.8525";"33";"52";"22";"21";"+08:00";"97048";"99"
"97072";"Stasiun Meteorologi Mutiara Sis-Al Jufri";"390";"mkg";"Region IV";"-0.91589";"119.90554";"79";"41";"22";"26";"+08:00";"97072";"100"
"97074";"Stasiun Geofisika Palu";"390";"mkg";"Region IV";"-0.90536";"119.8367";"75";"52";"42";"21";"+08:00";"97074";"101"
"97086";"Stasiun Meteorologi Syukuran Aminudin Amir Luwuk";"380";"mkg";"Region IV";"-1.04064";"122.771";"19";"53";"45";"21";"+08:00";"97086";"102"
"97096";"Stasiun Meteorologi Kasiguncu";"381";"mkg";"Region IV";"-1.42038";"120.65701";"10";"null";"null";"null";"+08:00";"97096";"103"
"97120";"Stasiun Meteorologi Majene";"437";"mkg";"Region IV";"-3.55074";"118.98054";"29";"null";"41";"28";"+08:00";"97120";"104"
"97124";"Stasiun Meteorologi Pongtiku";"408";"mkg";"Region IV";"-3.04524";"119.81885";"829";"null";"null";"null";"+08:00";"97124";"105"
"97126";"Stasiun Meteorologi Andi Jemma";"409";"mkg";"Region IV";"-2.55472";"120.32422";"43";"53";"22";"21";"+08:00";"97126";"106"
"97142";"Stasiun Meteorologi Sangia Ni Bandera";"415";"mkg";"Region IV";"-4.18059";"121.61077";"14";"null";"null";"null";"+08:00";"97142";"107"
"97144";"Stasiun Meteorologi Maritim Kendari";"425";"mkg";"Region IV";"-3.9701";"122.5895";"2";"43";"21";"23";"+08:00";"97144";"108"
"97146";"Stasiun Geofisika Kendari";"425";"mkg";"Region IV";"-3.96";"122.62";"10";"null";"null";"null";"+08:00";"97146";"109"
"97180";"Stasiun Meteorologi Hasanuddin";"399";"mkg";"Region IV";"-5.07";"119.55";"14";"null";"null";"null";"+08:00";"97180";"110"
"97182";"Stasiun Meteorologi Maritim Paotere";"412";"mkg";"Region IV";"-5.11375";"119.41983";"5";"null";"22";"21";"+08:00";"97182";"111"
"97184";"Stasiun Klimatologi Maros";"399";"mkg";"Region IV";"-4.9308";"119.572";"13";"null";"47";"22";"+08:00";"97184";"112"
"97186";"Stasiun Geofisika Gowa";"396";"mkg";"Region IV";"-5.218";"119.47";"22";"null";"null";"null";"+08:00";"97186";"113"
"97192";"Stasiun Meteorologi Beto Ambari";"426";"mkg";"Region IV";"-5.47";"122.62";"233";"null";"null";"null";"+08:00";"97192";"114"
"97230";"Stasiun Meteorologi Ngurah Rai ";"272";"mkg";"Region III";"-8.75";"115.17";"4";"53";"22";"23";"+08:00";"97230";"115"
"97232";"Stasiun Geofisika Sanglah";"278";"mkg";"Region III";"-8.67689";"115.21";"15";"52";"49";"21";"+08:00";"97232";"116"
"97234";"Pos Pengamatan Kahang-Kahang";"276";"mkg";"Region III";"-8.365";"115.61083";"155";"47";"22";"22";"+08:00";"97234";"117"
"97236";"Stasiun Klimatologi Jembrana";"270";"mkg";"Region III";"-8.341";"114.6176";"25";"47";"2";"22";"+08:00";"97236";"118"
"97240";"Stasiun Meteorologi Bandara Internasional Lombok";"287";"mkg";"Region III";"-8.75277";"116.24982";"92";"47";"47";"26";"+08:00";"97240";"119"
"97242";"Stasiun Klimatologi Lombok Barat";"279";"mkg";"Region III";"-8.63627";"116.17094";"55";"47";"42";"22";"+08:00";"97242";"120"
"97260";"Stasiun Meteorologi Sultan Muhammad Kaharudin";"282";"mkg";"Region III";"-8.48845";"117.41336";"10";"null";"null";"23";"+08:00";"97260";"121"
"97270";"Stasiun Meteorologi Sultan Muhammad Salahudin";"288";"mkg";"Region III";"-8.54279";"118.6928";"5";"44";"2";"26";"+08:00";"97270";"122"
"97282";"Stasiun Meteorologi Komodo";"303";"mkg";"Region III";"-8.48673";"119.88683";"67";"52";"22";"26";"+08:00";"97282";"123"
"97284";"Stasiun Meteorologi Frans Sales Lega";"298";"mkg";"Region III";"-8.63";"120.45";"1070";"null";"22";"null";"+08:00";"97284";"124"
"97300";"Stasiun Meteorologi Fransiskus Xaverius Seda";"295";"mkg";"Region III";"-8.63577";"122.23752";"28";"null";"null";"null";"+08:00";"97300";"125"
"97310";"Stasiun Meteorologi Gewayantana";"294";"mkg";"Region III";"-8.2752";"122.9986";"9";"null";"49";"21";"+08:00";"97310";"126"
"97320";"Stasiun Meteorologi Mali";"293";"mkg";"Region III";"-8.13471";"124.59";"10";"53";"45";"26";"+08:00";"97320";"127"
"97340";"Stasiun Meteorologi Umbu Mehang Kunda";"299";"mkg";"Region III";"-9.66944";"120.29972";"10";"51";"43";"21";"+08:00";"97340";"128"
"97342";"Stasiun Geofisika Waingapu";"299";"mkg";"Region III";"-9.66917";"120.29776";"13";"null";"null";"null";"+08:00";"97342";"129"
"97374";"Stasiun Klimatologi Kupang";"309";"mkg";"Region III";"-10.13861";"123.66722";"19";"46";"2";"26";"+08:00";"97374";"130"
"97372";"Stasiun Meteorologi Eltari";"309";"mkg";"Region III";"-10.1678";"123.67039";"102";"null";"null";"null";"null";"97372";"131"
"97376";"Stasiun Geofisika Kampung Baru";"309";"mkg";"Region III";"-10.16453";"123.58933";"56";"null";"null";"null";"+08:00";"97376";"132"
"97378";"Stasiun Meteorologi David Constatijn Saudale";"302";"mkg";"Region III";"-10.76662";"123.07395";"141";"47";"45";"26";"+08:00";"97378";"133"
"97380";"Stasiun Meteorologi Tardamu";"289";"mkg";"Region III";"-10.5";"121.83";"15";"53";"42";"26";"+08:00";"97380";"134"
"97406";"Stasiun Meteorologi Gamar Malamo";"451";"mkg";"Region IV";"1.84092";"127.7905";"130";"53";"22";"23";"+09:00";"97406";"135"
"97430";"Stasiun Meteorologi Sultan Baabullah";"456";"mkg";"Region IV";"0.8333";"127.38";"33";"53";"22";"21";"+09:00";"97430";"136"
"97432";"Stasiun Geofisika Ternate";"456";"mkg";"Region IV";"0.7719";"127.3667";"49";"null";"null";"null";"+09:00";"97432";"137"
"97460";"Stasiun Meteorologi Oesman Sadik";"452";"mkg";"Region IV";"-0.63784";"127.5";"14";"53";"22";"21";"+09:00";"97460";"138"
"97502";"Stasiun Meteorologi Seigun";"497";"mkg";"Region V";"-0.89118";"131.28575";"0";"41";"22";"27";"+09:00";"97502";"139"
"97530";"Stasiun Meteorologi Rendani";"488";"mkg";"Region V";"-0.89227";"134.05041";"3";"42";"44";"26";"+09:00";"97530";"140"
"97560";"Stasiun Meteorologi Frans Kaisiepo";"463";"mkg";"Region V";"-1.19069";"136.10361";"3";"null";"21";"26";"+09:00";"97560";"141"
"97570";"Stasiun Meteorologi Sudjarwo Tjondro Negoro";"462";"mkg";"Region V";"-1.8754";"136.23994";"3";"null";"null";"28";"+09:00";"97570";"142"
"97580";"Stasiun Meteorologi Mararena";"467";"mkg";"Region V";"-1.85";"138.75";"3";"null";"null";"null";"+09:00";"97580";"143"
"97600";"Stasiun Meteorologi Emalamo";"453";"mkg";"Region IV";"-2.05";"126";"2";"44";"45";"21";"+09:00";"97600";"144"
"97630";"Stasiun Meteorologi Torea";"489";"mkg";"Region V";"-2.91938";"132.26496";"126";"51";"null";"28";"+09:00";"97630";"145"
"97682";"Stasiun Meteorologi Moanamani";"461";"mkg";"Region V";"-3.3521";"135.52";"3";"52";"null";"21";"+09:00";"97682";"146"
"97686";"Stasiun Meteorologi Wamena Jaya Wijaya";"459";"mkg";"Region V";"-4.07";"138.95";"1653";"null";"48";"25";"+09:00";"97686";"147"
"97690";"Stasiun Meteorologi Sentani";"460";"mkg";"Region V";"-2.57";"140.48";"96";"43";"22";"26";"+09:00";"97690";"148"
"97694";"Stasiun Klimatologi Manokwari Selatan";"488";"mkg";"Region V";"-1.47";"134.19";"20";"42";"22";"26";"+09:00";"97694";"149"
"97696";"Stasiun Geofisika Angkasapura";"486";"mkg";"Region V";"-2.51461";"140.70431";"400";"61";"22";"21";"+09:00";"97696";"150"
"97698";"Stasiun Meteorologi Dok II Jayapura";"486";"mkg";"Region V";"-2.53";"140.72";"3";"null";"22";"28";"+09:00";"97698";"151"
"97700";"Stasiun Meteorologi Namlea";"441";"mkg";"Region IV";"-3.25";"127.08";"10";"52";"22";"26";"+09:00";"97700";"152"
"97722";"Stasiun Meteorologi Amahai";"438";"mkg";"Region IV";"-3.3464";"128.9284";"10";"null";"43";"21";"+09:00";"97722";"153"
"97724";"Stasiun Meteorologi Pattimura";"447";"mkg";"Region IV";"-3.7114";"128.0957";"14";"null";"null";"null";"+09:00";"97724";"154"
"97726";"Stasiun Klimatologi Seram Bagian Barat";"443";"mkg";"Region IV";"-3.25";"128.4";"5";"null";"22";"22";"+09:00";"97726";"155"
"97728";"Stasiun Geofisika Karang Panjang";"447";"mkg";"Region IV";"-3.69";"128.19";"83";"null";"null";"21";"+09:00";"97728";"156"
"97748";"Stasiun Meteorologi Geser";"442";"mkg";"Region IV";"-3.8813";"130.88";"2";"null";"null";"null";"null";"97748";"157"
"97780";"Stasiun Meteorologi Enarotali";"465";"mkg";"Region V";"-3.92688";"136.38";"1650";"null";"null";"null";"+09:00";"97780";"158"
"97790";"Stasiun Meteorologi Bandaneira";"438";"mkg";"Region IV";"-4.52338";"129.9043";"15";"null";"2";"25";"+09:00";"97790";"159"
"97796";"Stasiun Meteorologi Mozez Kilangin";"466";"mkg";"Region V";"-4.53006";"136.89348";"30";"52";"22";"26";"+09:00";"97796";"160"
"97810";"Stasiun Meteorologi Dumatubun Tual";"439";"mkg";"Region IV";"-5.6637";"132.7362";"10";"null";"22";"21";"+09:00";"97810";"161"
"97812";"Stasiun Geofisika Nabire";"461";"mkg";"Region V";"-5.64";"132.75";"22";"null";"null";"null";"+09:00";"97812";"162"
"97876";"Stasiun Meteorologi Tanah Merah";"473";"mkg";"Region V";"-6.1";"140.31";"97";"53";"43";"26";"+09:00";"97876";"163"
"97900";"Stasiun Meteorologi Mathilda Batlayeri";"440";"mkg";"Region IV";"-7.98";"131.3";"24";"51";"22";"21";"+09:00";"97900";"164"
"97902";"Stasiun Geofisika Saumlaki";"440";"mkg";"Region IV";"-7.98";"131.3";"26";"51";"2";"21";"+09:00";"97902";"165"
"97980";"Stasiun Meteorologi Mopah";"458";"mkg";"Region V";"-8.52019";"140.41568";"0";"null";"null";"null";"+09:00";"97980";"166"
"97010";"Stasiun Geofisika Winangun";"376";"mkg";"Region IV";"1.4434";"124.8389";"204";"null";"null";"null";"+08:00";"97010";"167"
"97978";"Stasiun Klimatologi Tanah Miring";"458";"mkg";"Region V";"-8.387";"140.517";"5";"null";"null";"null";"+09:00";"97978";"7945"
"97094";"Stasiun Pemantau Atmosfer Global Lore Lindu Bariri";"390";"mkg";"Region IV";"-1.6499";"120.183";"1369";"52";"22";"26";"+08:00";"97094";"7947"
"97500";"Stasiun Pemantau Atmosfer Global Puncak Vihara Klademak";"497";"mkg";"Region V";"-0.981";"131.301";"10";"null";"null";"null";"+09:00";"97500";"7948"
"97150";"Stasiun Klimatologi Ranomeeto";"419";"mkg";"Region IV";"-4.056";"122.449";"30";"43";"21";"21";"+08:00";"97150";"7905"
"97052";"Stasiun Klimatologi Tilongkabila";"429";"mkg";"Region IV";"0.556";"123.14";"15";"null";"null";"null";"+08:00";"97052";"7924"
"96939";"Stasiun Meteorologi Tuban";"246";"mkg";"Region III";"-6.8229";"111.99177";"5";"null";"null";"null";"+07:00";"96939";"7949"
"96107";"Stasiun Klimatologi Tambang";"76";"mkg";"Region I";"0.407";"101.217";"15";"null";"null";"null";"+07:00";"96107";"7904"
"96851";"Stasiun Klimatologi Mlati";"222";"mkg";"Region II";"-7.731";"110.354";"182";"null";"null";"null";"+07:00";"96851";"7944"
"96239";"Stasiun Klimatologi Koba";"141";"mkg";"Region II";"-2.518";"106.422";"6";"null";"null";"null";"+07:00";"96239";"7946"
"96747";"Halim Perdana Kusuma Jakarta";"157";"mkg";"Region II";"-6.27036";"106.88926";"28";"null";"null";"null";"+07:00";"96747";"10890"
"97247";"Stasiun Geofisika Alor";"293";"mkg";"Region III";"-8.1445";"124.5903";"0";"null";"null";"null";"+08:00";"97247";"11185"
"97000";"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah V";"486";"mkg";"Region V";"-2.57522";"140.68624";"0";"null";"null";"null";"+09:00";"97000";"172"
"97504";"null";"null";"mkg";"null";"null";"null";"null";"null";"null";"null";"null";"97504";"7125"
"96003";"Balai Besar Meteorologi, Klimatologi ,  dan Geofisika Wilayah III";"272";"mkg";"Region III";"-8.7381";"115.1786";"0";"null";"null";"null";"null";"96003";"170"
"96041";"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah I";"49";"mkg";"Region I";"3.5397";"98.64";"0";"null";"null";"null";"+07:00";"96041";"168"
"96004";"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah IV";"412";"mkg";"Region IV";"-5.14283";"119.45227";"72";"null";"null";"null";"+08:00";"96004";"171"
"96043";"Stasiun Meteorologi Silangit";"25";"mkg";"Region I";"2.26136";"98.99357";"1420";"null";"null";"null";"+07:00";"96043";"11261"
"97730";"Stasiun Meteorologi Maritim Ambon";"447";"mkg";"Region IV";"-3.79053";"128.10075";"3";"null";"null";"null";"null";"97730";"11262"
