POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-106-01-01;CILEUTUH;CILEUTUH-CIPIRING;108.61666666666666;-7.133333333333334;81;1974;DPMA;JAWA BARAT;SUKABUMI;CIEMAS;CIWARU;CIPIRING;1990 - 2013;33
02-016-09-01;CITARUM;CILALAWI-CILALAWI;107.36666666666666;-6.666666666666667;125.3;1984; P.O.J;JAWA BARAT;PURWAKARTA;PLERED;CILALAWI;CILALAWI;1970 - 2013;12
02-016-03-02;CITARUM;CIMANDE-CIMANGGUNG;107.3;-6.183333333333334;24.3;2011;BBWSC;JAWA BARAT;SUMEDANG;CIMANGGUNG;CIMANGGUNG;CIMANGGUNG;2013;3
02-019-01-01;CILAMAYA;CILAMAYA-CIPEUNDEUY;107.55666666666666;-6.504444444444444;265;1975;DPMA;JAWA BARAT;SUBANG;KALIJATI;CIPEUNDEUY;CIPEUNDEUY;1975 - 2012;27
02-026-06-10;CIMANUK;CIMANUK-KERTASEMAYA;108.34972222222221;-6.529444444444445;3305;1988;PUSLITBANG AIR;JAWA BARAT;INDRAMAYU;KERTASEMAYA;KERTASEMAYA;KERTASEMAYA;1988 - 2015;22
02-026-06-02;CIMANUK;CIMANUK-JATIBARANG;108.29333333333334;-6.3;3321.8;1969;DPMA;JAWA BARAT;INDRAMAYU;JATIBARANG;JATIBARANG;JATIBARANG;1970 - 1977;7
02-026-01-01;CIMANUK;CIMANUK-BOJONGLOA;107.86777777777777;-7.244722222222222;286;1974;DPMA;JAWA BARAT;GARUT;BAYONGBONG;BOJONGLOA;BOJONGLOA;1974 - 2013;41
02-026-01-02;CIMANUK;CIMANUK-LEUWIDAUN;107.89777777777779;-7.21;456.6;1988;PUSAT LITBANG AIR;JAWA BARAT;GARUT;KULON;LEUWIDAUN;LEUWIDAUN;1970 - 2015;40
02-026-02-01;CIMANUK;CIMANUK-LEUWIGOONG;107.96472222222222;-7.103333333333333;759.6;1965;DPMA;JAWA BARAT;GARUT;LELES;LEUWIGOONG;LEUWIGOONG;1970 - 2013;43
00-000-00-00;CIMANUK;CIMANUK-BAYONGBONG;;;100;2005;PI PWS CIMANUK-CISANGGARUNG;JAWA BARAT;GARUT;BAYONGBONG;BAYONGBONG;BAYONGBONG;2011 - 2013;5
02-107-02-07;CIMANDIRI;CIMANDIRI-TEGALDATAR;106.7786111111111;-7.006944444444445;520.6;1974;DPMA;JAWA BARAT;SUKABUMI;CIKEMBAR;TEGALDATAR;TEGALDATAR;1980 - 2015;34
02-107-02-08;CIMANDIRI;CIMANDIRI-LEUWILISUNG;106.73333333333333;-7.033333333333333;87.6;1982;PHBD;JAWA BARAT;SUKABUMI;BAROS;CILISUNG;CILISUNG;1993 - 2015;22
02-026-03-03;CIMANUK;CIMANUK-TOMO;108.13333333333334;-6.758333333333334;1966.3;1963;DPMA;JAWA BARAT;SUMEDANG;TOMO;TOMO;TOMO;1970 - 2013;47
02-026-03-01;CIMANUK;CIMANUK-WADO;108.0886111111111;-6.947500000000001;1263;1968;DPMA;JAWA BARAT;GARUT;SUMEDANG;WADO;PANGKALAN;1970 - 2012;42
02-026-06-04;CIMANUK;CIMANUK-MONJOT;108.2238888888889;-6.661666666666667;2788;1988;PROSIDA;JAWA BARAT;MAJALENGKA;CIBEUREUM;MONJOT;MONJOT;1978 - 2012;19
02-092-01-04;CITANDUY;CIMUNTUR-BATUNUNGGAL;108.49333333333334;-7.345833333333333;602;1984;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;CIAMIS;;;BATUNUNGGUL;2008 - 2013;8
02-092-01-12;CITANDUY;CIMUNTUR-BANARUKA;108.43611111111112;-7.316388888888889;250.43;1993;PROYEK CITANDUY;JAWA BARAT;CIAMIS;BANDARUKA;BANDARUKA;BANDARUKA;1997 - 2013;12
02-094-01-01;CIMEDANG;CIMEDANG-LEUWIBUDAH;108.3;-7.593333333333333;78.9;1976;DPMA;JAWA BARAT;TASIKMALAYA;CIKATOMAS;LEUWIBUDAH;LEUWIBUDAH;1990 - 2015;22
02-016-20-01;CITARUM;CIMETA-BEPAK;107.38583333333334;-6.816666666666666;132.5;1986;CIRATA;JAWA BARAT;BANDUNG;CIPATAT;KERTAMUKTI;KERTAMUKTI;1993 - 2011;15
00-000-00-02;CIMAWATE;CIMAWATE-SUKANEGARA;;;100;1986;PSDA CIWULAN;JAWA BARAT;TASIKMALAYA;MANGUNREJA;SUKANEGARA;SUKANEGARA;2011 - 2013;5
02-092-02-07;CITANDUY;CIMENENG-STINGGIL;108.67444444444445;-7.323611111111111;20.7;2005;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR; PURWOKERTO;STINGGIL;STINGGIL;2008 - 2013;8
02-112-02-20;CITANDUY;CIMUNTUR-CIBEKA;108.47472222222223;-7.333333333333333;602;1984;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR;KAPEL;CIBEKA;CIBEKA;2008 - 2015;9
