POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-092-01-03;CITANDUY;CITANDUY-CIRAHONG;108.31472222222222;-7.339166666666666;622;1969;DPMA;JAWA BARAT;CIAMIS;CIAMIS;PANYINGKIRAN;CIRAHONG;1970 - 2013;40
02-092-02-01;CITANDUY;CISEEL-CILISUNG;108.52111111111111;-7.416666666666667;190.2;1974;DPMA;JAWA BARAT;CIAMIS;PAMRINCANG;CILISUNG;CILISUNG;1972 - 2011;34
02-095-01-02;CIWULAN;CIWULAN-MANGUNREJA_PALEDANG;108.10499999999999;-7.363611111111111;236.6;1983;DPMA;JAWA BARAT;TASIKMALAYA;SINGAPARNA;MANGUNREJA;MANGUNREJA;1985 - 2013;14
02-095-01-08;CIWULAN;CIWULAN-SUKARAJA;108.19166666666668;-7.45;524.4;1985;DPMA;JAWA BARAT;TASIKMALAYA;SUKARAJA;URUG;BABAKAN;1986 - 2013;22
02-095-02-01;CIWULAN;CIWULAN-SODONG;108.1863888888889;-7.523333333333333;845.5;1975;PUSLITBANG PENGAIRAN;JAWA BARAT;TASIKMALAYA;SODONG;SODONG;SODONG;1975 - 2013;20
02-092-02-03;CITANDUY;CISEEL-CIAWITALI;108.65;-7.451388888888889;596.6;1978;BBWS CITANDUY;JAWA BARAT;BANJAR;BANJARSARI ;CIAWITALI;CIAWITALI;1997 - 2015;11
02-112-02-20;CITANDUY;CITANDUY-BOJONG_SALAWE;108.31694444444445;-7.340833333333333;634;1995;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR;CIMARAGAS;BOJONGSALAWE;BOJONGSALAWE;2008 - 2015;9
02-112-02-30;CITANDUY;CISEEL-KEDUNG_KUDA;108.65472222222223;-7.457222222222223;180.9;1984;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR;-;KEDUNGKUDA;KEDUNGKUDA;2009 - 2015;8
02-107-03-01;CIMANDIRI;CITARIK-PAJAGAN;106.60833333333333;-6.915555555555556;233.8;1982;PHBD;JAWA BARAT;SUKABUMI;CIKIDANG;CIKIRAY;CIKIRAY;1993 - 2015;22
02-031-03-01;CISANGGARUNG;CITAAL-CINANGKA;108.62527777777777;-7.069444444444445;100;1993;PI PWS CIMANUK;JAWA BARAT;KUNINGAN;CIWARU;CINANGKA;CINANGKA;2011 - 2013;3
