"POST_NUMBER","RIVER","POST_STATION_NAME","LON","LAT","SIZE","YEAR_BUILT","BUILT_BY","PROVINCE","DISTRICT","SUBDISTRICT","VILLAGE","SUBVILLAGE","YEAR_RANGE","DATA_COUNT"
"-","CILIWUNG","CILIWUNG-CIBOGO","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-CILUAR ","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-DEPOK","-","","-","-","","JAWA BARAT","DEPOK","","","","2016","1"
"-","CILIWUNG","CILIWUNG-MANGGARAI","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CILIWUNG","CILIWUNG-PONDOK PINANG","-","","-","-","","JAWA BARAT","BOGOR","","","","2016","1"
"-","CIPINANG HULU","CIPINANG HULU-KIWI","-","","-","-","","DKI","DKI","","","","2016","1"
"-","CIPINANG","CIPINANG-HALIM","-","","-","-","","DKI","DKI","","","","2016","1"
"-","K.BEKASI","K.BEKASI-PERUM PML","-","","-","-","","DKI","BEKASI","","","","2016","1"
"-","K.PASANGGRAHAN","K.PASANGGRAHAN-GINTUNG","-","","-","-","","DKI","DEPOK","","","","2016","1"
"-","K.SUNTER","K.SUNTER-JATIWARNA","-","","-","-","","DKI","DKI","","","","2016","1"
